method,route,source,symbol,auth_dependency_chain,authorization_evidence,expected_request,actual_request_declaration,expected_response_declaration,actual_return_expressions,consumer_candidates,service_db_calls,declared_error_paths,test_reference_candidates,production_readiness
GET,/api/v1/messages/inbox,app/api/api_v1/endpoints/messages.py:18,get_inbox_messages,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""page"", ""type"": ""<class 'int'>"", ""required"": false}, {""name"": ""size"", ""type"": ""<class 'int'>"", ""required"": false}, {""name"": ""unread_only"", ""type"": ""<class 'bool'>"", ""required"": false}], ""body"": []}",<class 'app.schemas.message.MessageList'>,"MessageList(messages=messages, total_count=total_count, unread_count=unread_count)",UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; Message.created_at.desc; MessageList; Query; db.query; db.query(Message).filter; db.query(Message).options; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter; joinedload; query.filter; query.order_by; query.order_by(Message.created_at.desc()).offset; query.order_by(Message.created_at.desc()).offset((page - 1) * size).limit; query.order_by(Message.created_at.desc()).offset((page - 1) * size).limit(size).all; router.get; total_query.count; total_query.filter; total_query.filter(Message.is_read == False).count",,tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
GET,/api/v1/messages/sent,app/api/api_v1/endpoints/messages.py:53,get_sent_messages,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""page"", ""type"": ""<class 'int'>"", ""required"": false}, {""name"": ""size"", ""type"": ""<class 'int'>"", ""required"": false}], ""body"": []}",<class 'app.schemas.message.MessageList'>,"MessageList(messages=messages, total_count=total_count, unread_count=0)",UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; Message.created_at.desc; MessageList; Query; db.query; db.query(Message).filter; db.query(Message).filter(Message.sender_id == current_user.id).count; db.query(Message).options; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter; joinedload; query.order_by; query.order_by(Message.created_at.desc()).offset; query.order_by(Message.created_at.desc()).offset((page - 1) * size).limit; query.order_by(Message.created_at.desc()).offset((page - 1) * size).limit(size).all; router.get",,tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
GET,/api/v1/messages/{message_id},app/api/api_v1/endpoints/messages.py:81,get_message,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""message_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",<class 'app.schemas.message.Message'>,message,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; db.commit; db.query; db.query(Message).options; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter(Message.id == message_id).first; db.refresh; func.now; joinedload; router.get","HTTPException(status_code=404, detail='Message not found') | HTTPException(status_code=403, detail='Access denied')",tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
POST,/api/v1/messages/,app/api/api_v1/endpoints/messages.py:111,create_message,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""message_data"", ""type"": ""<class 'app.schemas.message.MessageCreate'>"", ""required"": true}]}",<class 'app.schemas.message.Message'>,message_with_relations,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; Message; datetime.now; db.add; db.commit; db.query; db.query(Message).options; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter(Message.id == new_message.id).first; db.query(User).filter; db.query(User).filter(User.id == message_data.recipient_id).first; db.refresh; joinedload; router.post","HTTPException(status_code=404, detail='Recipient not found')",tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
POST,/api/v1/messages/by-nickname,app/api/api_v1/endpoints/messages.py:149,create_message_by_nickname,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""message_data"", ""type"": ""<class 'app.schemas.message.MessageCreateByNickname'>"", ""required"": true}]}",<class 'app.schemas.message.Message'>,message_with_relations,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; Message; datetime.now; db.add; db.commit; db.query; db.query(Message).options; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter(Message.id == new_message.id).first; db.query(User).filter; db.query(User).filter(User.nickname == message_data.recipient_nickname).first; db.refresh; db.rollback; joinedload; print; router.post; traceback.print_exc","HTTPException(status_code=404, detail=f""User with nickname '{message_data.recipient_nickname}' not found"") | HTTPException(status_code=500, detail='Database operation failed')",tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
PUT,/api/v1/messages/{message_id},app/api/api_v1/endpoints/messages.py:196,update_message,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""message_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": [{""name"": ""message_update"", ""type"": ""<class 'app.schemas.message.MessageUpdate'>"", ""required"": true}]}",<class 'app.schemas.message.Message'>,message_with_relations,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; datetime.now; db.commit; db.query; db.query(Message).filter; db.query(Message).filter(Message.id == message_id).first; db.query(Message).options; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter; db.query(Message).options(joinedload(Message.sender), joinedload(Message.recipient)).filter(Message.id == message.id).first; db.refresh; func.now; joinedload; router.put","HTTPException(status_code=404, detail='Message not found') | HTTPException(status_code=403, detail='Only message sender can edit content') | HTTPException(status_code=400, detail='No valid update fields provided') | HTTPException(status_code=403, detail='Only message recipient can mark as read')",tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
GET,/api/v1/messages/users/available,app/api/api_v1/endpoints/messages.py:250,get_available_users,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.List[app.schemas.message.MessageUserInfo],users,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; User.nickname.isnot; db.query; db.query(User).filter; db.query(User).filter(User.id != current_user.id, User.is_active == True, User.nickname.isnot(None)).order_by; db.query(User).filter(User.id != current_user.id, User.is_active == True, User.nickname.isnot(None)).order_by(User.nickname).all; router.get",,tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
DELETE,/api/v1/messages/{message_id},app/api/api_v1/endpoints/messages.py:266,delete_message,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""message_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",None,{'message': 'Message deleted successfully'},UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; db.commit; db.delete; db.query; db.query(Message).filter; db.query(Message).filter(Message.id == message_id).first; router.delete,"HTTPException(status_code=404, detail='Message not found') | HTTPException(status_code=403, detail='Access denied')",tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
DELETE,/api/v1/messages/conversation/{user_id},app/api/api_v1/endpoints/messages.py:289,delete_conversation,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""user_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",None,"{'message': f'Conversation deleted successfully', 'deleted_messages': deleted_count, 'other_user': other_user.name}",UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; HTTPException; and_; db.commit; db.delete; db.query; db.query(Message).filter; db.query(Message).filter(or_(and_(Message.sender_id == current_user.id, Message.recipient_id == user_id), and_(Message.sender_id == user_id, Message.recipient_id == current_user.id))).all; db.query(User).filter; db.query(User).filter(User.id == user_id).first; or_; router.delete","HTTPException(status_code=404, detail='User not found')",tests/integration/api_smoke/test_messages_smoke.py; tests/unit/services/test_messages_endpoint.py,UNVERIFIED
HEAD,/api/v1/debug/health,app/api/api_v1/endpoints/debug.py:10,health_check,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}","typing.Dict[str, typing.Any]","{'status': 'healthy', 'timestamp': datetime.now().isoformat(), 'message': 'Practice Booking System API is running'}",UNVERIFIED — no exact literal match; dynamic URLs may exist,datetime.now; datetime.now().isoformat; router.get; router.head,,UNVERIFIED — no exact symbol match,UNVERIFIED
GET,/api/v1/debug/health,app/api/api_v1/endpoints/debug.py:10,health_check,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}","typing.Dict[str, typing.Any]","{'status': 'healthy', 'timestamp': datetime.now().isoformat(), 'message': 'Practice Booking System API is running'}",UNVERIFIED — no exact literal match; dynamic URLs may exist,datetime.now; datetime.now().isoformat; router.get; router.head,,UNVERIFIED — no exact symbol match,UNVERIFIED
GET,/api/v1/debug/environment,app/api/api_v1/endpoints/debug.py:24,get_environment_info,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}","typing.Dict[str, typing.Any]","{'python_version': sys.version, 'platform': platform.platform(), 'architecture': platform.architecture(), 'processor': platform.processor(), 'timestamp': datetime.now().isoformat(), 'server_info': {'os': platform.system(), 'release': platform.release(), 'machine': platform.machine()}}",UNVERIFIED — no exact literal match; dynamic URLs may exist,datetime.now; datetime.now().isoformat; platform.architecture; platform.machine; platform.platform; platform.processor; platform.release; platform.system; router.get,,tests/integration/api_smoke/test_debug_smoke.py,UNVERIFIED
POST,/api/v1/debug/log-error,app/api/api_v1/endpoints/debug.py:43,log_frontend_error,No declared auth dependency; public/manual guard requires review,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""error_data"", ""type"": ""typing.Dict[str, typing.Any]"", ""required"": true}]}","typing.Dict[str, typing.Any]","{'status': 'logged', 'timestamp': datetime.now().isoformat(), 'client_ip': client_ip}",UNVERIFIED — no exact literal match; dynamic URLs may exist,datetime.now; datetime.now().isoformat; print; request.headers.get; router.post,,tests/integration/api_smoke/test_debug_smoke.py,UNVERIFIED
POST,/api/v1/adaptive-learning/start-session,app/api/api_v1/endpoints/adaptive_learning.py:69,start_adaptive_learning_session,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""request"", ""type"": ""<class 'app.api.api_v1.endpoints.adaptive_learning.StartSessionRequest'>"", ""required"": true}]}",<class 'app.api.api_v1.endpoints.adaptive_learning.AdaptiveSessionResponse'>,"AdaptiveSessionResponse(session_id=session.id, target_difficulty=session.target_difficulty, category=session.category.value, session_duration_seconds=session.session_time_limit_seconds)",UNVERIFIED — no exact literal match; dynamic URLs may exist,AdaptiveLearningService; AdaptiveSessionResponse; Depends; HTTPException; adaptive_service.start_adaptive_session; router.post,"HTTPException(status_code=status.HTTP_403_FORBIDDEN, detail='Only students can start learning sessions')",tests/integration/api_smoke/test_adaptive_learning_smoke.py; tests/unit/services/test_adaptive_learning_endpoint.py,UNVERIFIED
POST,/api/v1/adaptive-learning/sessions/{session_id}/next-question,app/api/api_v1/endpoints/adaptive_learning.py:99,get_next_question,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""session_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",typing.Any,"{'id': question_data['id'], 'question_text': question_data['text'], 'question_type': question_data['type'], 'answer_options': question_data['options'], 'estimated_difficulty': question_data['difficulty'], 'session_time_remaining': question_data['session_time_remaining'], 'concept_tags': [], 'time_limit_seconds': 90} | {'session_complete': True, 'reason': 'Session time limit reached'} | {'session_complete': True, 'reason': 'No more questions available'} | {'session_complete': True, 'reason': reason}",UNVERIFIED — no exact literal match; dynamic URLs may exist,AdaptiveLearningService; Depends; HTTPException; adaptive_service.get_next_question; isinstance; result.get; router.post,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail='Session not found')",tests/unit/test_adaptive_learning_service.py; tests/integration/api_smoke/test_adaptive_learning_smoke.py; tests/unit/services/test_adaptive_learning_service.py; tests/unit/services/test_adaptive_learning_endpoint.py; tests/unit/api/web_routes/test_adaptive_learning_web.py,UNVERIFIED
POST,/api/v1/adaptive-learning/sessions/{session_id}/answer,app/api/api_v1/endpoints/adaptive_learning.py:142,submit_answer,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""session_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": [{""name"": ""request"", ""type"": ""<class 'app.api.api_v1.endpoints.adaptive_learning.AnswerQuestionRequest'>"", ""required"": true}]}",<class 'app.api.api_v1.endpoints.adaptive_learning.AnswerResultResponse'>,"AnswerResultResponse(is_correct=is_correct, explanation=explanation, xp_earned=result['xp_earned'], new_target_difficulty=result['new_target_difficulty'], performance_trend=result['performance_trend'], mastery_update=result['mastery_update'], session_stats=session_stats)",UNVERIFIED — no exact literal match; dynamic URLs may exist,AdaptiveLearningService; AnswerResultResponse; Depends; HTTPException; adaptive_service.record_answer; correct_answer.lower; db.query; db.query(AdaptiveLearningSession).filter; db.query(AdaptiveLearningSession).filter(AdaptiveLearningSession.id == session_id).first; db.query(QuizAnswerOption).filter; db.query(QuizAnswerOption).filter(QuizAnswerOption.id == request.selected_option_id).first; db.query(QuizQuestion).filter; db.query(QuizQuestion).filter(QuizQuestion.id == request.question_id).first; next; request.answer_text.strip; request.answer_text.strip().lower; router.post,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail='Question not found')",tests/integration/api_smoke/test_adaptive_learning_smoke.py; tests/unit/services/test_adaptive_learning_endpoint.py,BROKEN — isolated probe
POST,/api/v1/adaptive-learning/sessions/{session_id}/end,app/api/api_v1/endpoints/adaptive_learning.py:211,end_learning_session,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""session_id"", ""type"": ""<class 'int'>"", ""required"": true}], ""query"": [], ""body"": []}",<class 'app.api.api_v1.endpoints.adaptive_learning.SessionSummaryResponse'>,"SessionSummaryResponse(questions_answered=summary['questions_answered'], correct_answers=summary['correct_answers'], success_rate=summary['success_rate'], xp_earned=summary['xp_earned'], performance_trend=summary['performance_trend'], final_difficulty=summary['final_difficulty'])",UNVERIFIED — no exact literal match; dynamic URLs may exist,AdaptiveLearningService; Depends; SessionSummaryResponse; adaptive_service.end_session; router.post,,tests/integration/api_smoke/test_adaptive_learning_smoke.py; tests/unit/services/test_adaptive_learning_endpoint.py,UNVERIFIED
GET,/api/v1/adaptive-learning/analytics,app/api/api_v1/endpoints/adaptive_learning.py:233,get_learning_analytics,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""category"", ""type"": ""<enum 'QuizCategory'>"", ""required"": false}], ""body"": []}",<class 'app.api.api_v1.endpoints.adaptive_learning.LearningAnalyticsResponse'>,"LearningAnalyticsResponse(total_questions_attempted=analytics['total_questions_attempted'], total_attempts=analytics['total_attempts'], overall_success_rate=analytics['overall_success_rate'], mastery_level=analytics['mastery_level'], learning_velocity=analytics['learning_velocity'], recommended_difficulty=analytics['recommended_difficulty'])",UNVERIFIED — no exact literal match; dynamic URLs may exist,AdaptiveLearningService; Depends; LearningAnalyticsResponse; adaptive_service.get_user_learning_analytics; router.get,,tests/integration/api_smoke/test_adaptive_learning_smoke.py; tests/unit/services/test_adaptive_learning_endpoint.py,UNVERIFIED
GET,/api/v1/adaptive-learning/categories,app/api/api_v1/endpoints/adaptive_learning.py:255,get_available_categories,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.List[typing.Dict],categories,UNVERIFIED — no exact literal match; dynamic URLs may exist,"Depends; categories.append; category.value.replace; category.value.replace('_', ' ').title; db.query; db.query(QuizQuestion).join; db.query(QuizQuestion).join(Quiz).filter; db.query(QuizQuestion).join(Quiz).filter(Quiz.category == category).count; router.get",,tests/integration/api_smoke/test_adaptive_learning_smoke.py; tests/unit/services/test_adaptive_learning_endpoint.py,UNVERIFIED
GET,/api/v1/adaptive-learning/leaderboard,app/api/api_v1/endpoints/adaptive_learning.py:279,get_adaptive_leaderboard,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [{""name"": ""category"", ""type"": ""<enum 'QuizCategory'>"", ""required"": false}, {""name"": ""timeframe"", ""type"": ""<class 'str'>"", ""required"": false}], ""body"": []}",typing.Any,"{'leaderboard': leaderboard[:10], 'user_position': next((i + 1 for i, entry in enumerate(leaderboard) if entry['user_id'] == current_user.id), None), 'timeframe': timeframe, 'category': category.value if category else 'all'}",UNVERIFIED — no exact literal match; dynamic URLs may exist,AdaptiveLearningSession.ended_at.isnot; Depends; datetime.now; db.query; db.query(AdaptiveLearningSession).filter; db.query(User).filter; db.query(User).filter(User.id == stats['user_id']).first; enumerate; leaderboard.append; leaderboard.sort; next; query.all; query.filter; router.get; timedelta; user_stats.values,,tests/integration/api_smoke/test_adaptive_learning_smoke.py; tests/unit/services/test_adaptive_learning_endpoint.py,UNVERIFIED
GET,/api/v1/specializations/,app/api/api_v1/endpoints/specializations/user.py:32,list_specializations,app.database.get_db,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",typing.List[app.api.api_v1.endpoints.specializations.user.SpecializationResponse],specializations,ios/LFAEducationCenter/Education/EducationViewModel.swift; ios/LFAEducationCenter/Models/SpecializationProgress.swift; ios/LFAEducationCenter/Models/SpecializationStatus.swift; ios/LFAEducationCenter/Models/SpecializationInfo.swift,Depends; SpecializationResponse; SpecializationService; router.get; service.get_all_specializations; spec_data.get; specializations.append,,tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
POST,/api/v1/specializations/me,app/api/api_v1/endpoints/specializations/user.py:58,set_user_specialization,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": [{""name"": ""specialization_data"", ""type"": ""<class 'app.api.api_v1.endpoints.specializations.user.SpecializationSetRequest'>"", ""required"": true}]}","typing.Dict[str, typing.Any]","{'message': 'Specialization updated successfully', 'user': {'id': current_user.id, 'name': current_user.name, 'email': current_user.email, 'specialization': {'code': current_user.specialization.value, 'name': display_info.get('name', specialization.value), 'icon': display_info.get('icon', '🎯')}}}",ios/LFAEducationCenter/Education/EducationViewModel.swift; ios/LFAEducationCenter/Models/SpecializationStatus.swift,AuditService; Depends; HTTPException; SpecializationConfigLoader; SpecializationService; SpecializationType; audit_service.log; current_user.calculate_age; db.commit; db.refresh; display_info.get; loader.get_display_info; print; router.post; service.enroll_user; str,"HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=f'Invalid specialization. Must be one of: {[s.value for s in SpecializationType]}') | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=result['message']) | HTTPException(status_code=status.HTTP_400_BAD_REQUEST, detail=str(e))",tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
GET,/api/v1/specializations/me,app/api/api_v1/endpoints/specializations/user.py:142,get_user_specialization,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}","typing.Dict[str, typing.Any]","{'user_id': current_user.id, 'has_specialization': current_user.has_specialization, 'specialization': {'code': current_user.specialization.value if current_user.specialization else None, 'name': current_user.specialization_display, 'icon': current_user.specialization_icon} if current_user.specialization else None}",ios/LFAEducationCenter/Education/EducationViewModel.swift; ios/LFAEducationCenter/Models/SpecializationStatus.swift,Depends; router.get,,tests/integration/api_smoke/test_specializations_smoke.py; tests/unit/services/test_session_filter_service.py,UNVERIFIED
DELETE,/api/v1/specializations/me,app/api/api_v1/endpoints/specializations/user.py:157,clear_user_specialization,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}","typing.Dict[str, typing.Any]","{'message': 'Specialization cleared successfully', 'user_id': current_user.id}",ios/LFAEducationCenter/Education/EducationViewModel.swift; ios/LFAEducationCenter/Models/SpecializationStatus.swift,Depends; db.commit; print; router.delete,,tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
GET,/api/v1/specializations/info/{specialization_code},app/api/api_v1/endpoints/specializations/info.py:30,get_specialization_info,app.database.get_db,service.validate_specialization_exists,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""specialization_code"", ""type"": ""<class 'str'>"", ""required"": true}], ""query"": [], ""body"": []}","typing.Dict[str, typing.Any]","{'code': specialization.value, 'name': display_info.get('name', specialization.value), 'description': display_info.get('description', ''), 'features': display_info.get('features', []), 'icon': display_info.get('icon', '🎯'), 'min_age': display_info.get('min_age', 0), 'color_theme': display_info.get('color_theme', '#000000')}",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; SpecializationConfigLoader; SpecializationService; SpecializationType; display_info.get; loader.get_display_info; router.get; service.validate_specialization_exists; specialization_code.upper,"HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f""Specialization '{specialization_code}' is not active"") | HTTPException(status_code=status.HTTP_404_NOT_FOUND, detail=f""Specialization '{specialization_code}' not found"")",tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
GET,/api/v1/specializations/levels/all,app/api/api_v1/endpoints/specializations/info.py:71,get_all_specializations_with_levels,app.database.get_db,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",None,"{'success': True, 'data': specializations}",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; SpecializationService; router.get; service.get_all_levels; service.get_all_specializations; str,"HTTPException(status_code=500, detail=f'Failed to fetch specializations: {str(e)}')",tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
GET,/api/v1/specializations/levels/{specialization_id},app/api/api_v1/endpoints/specializations/info.py:94,get_specialization_levels,app.database.get_db,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""specialization_id"", ""type"": ""<class 'str'>"", ""required"": true}], ""query"": [], ""body"": []}",None,"{'success': True, 'data': levels, 'count': len(levels)}",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; SpecializationService; len; router.get; service.get_all_levels; str,"HTTPException(status_code=404, detail=f""Specialization '{specialization_id}' not found"") | HTTPException(status_code=500, detail=f'Failed to fetch levels: {str(e)}')",tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
GET,/api/v1/specializations/progress/me,app/api/api_v1/endpoints/specializations/progress.py:33,get_my_specialization_progress,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",None,"{'success': True, 'data': progress_data} | {'success': True, 'data': {}}",ios/LFAEducationCenter/Education/EducationViewModel.swift; ios/LFAEducationCenter/Models/SpecializationProgress.swift,Depends; SpecializationService; router.get; service.get_student_progress,,tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
GET,/api/v1/specializations/progress/{specialization_id},app/api/api_v1/endpoints/specializations/progress.py:62,get_my_progress,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [{""name"": ""specialization_id"", ""type"": ""<class 'str'>"", ""required"": true}], ""query"": [], ""body"": []}",None,"{'success': True, 'data': progress}",UNVERIFIED — no exact literal match; dynamic URLs may exist,Depends; HTTPException; SpecializationService; router.get; service.get_student_progress; str,"HTTPException(status_code=400, detail=f'Failed to fetch progress: {str(e)}')",tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
GET,/api/v1/specializations/progress,app/api/api_v1/endpoints/specializations/progress.py:83,get_all_my_progress,app.database.get_db; app.dependencies.get_current_user; fastapi.security.http.HTTPBearer,Handler and dependency source; object-level safety UNVERIFIED unless finding/probe listed,Product-level exact contract UNVERIFIED; declared schema captured,"{""path"": [], ""query"": [], ""body"": []}",None,"{'success': True, 'data': progress_data}",ios/LFAEducationCenter/Education/EducationViewModel.swift; ios/LFAEducationCenter/Models/SpecializationProgress.swift,Depends; HTTPException; SpecializationService; router.get; service.get_student_progress; str,"HTTPException(status_code=400, detail=f'Failed to fetch progress: {str(e)}')",tests/integration/api_smoke/test_specializations_smoke.py,UNVERIFIED
